artist_name,spotify_artist_id,wikidata_id,genres,wikidata_url
Andrew E.,6TcTgRYJBQzadIFeXXWA3I,Q3545514,"pop rap, dirty rap, Pinoy hip hop",http://www.wikidata.org/entity/Q3545514
APO Hiking Society,4RA4PC3WHM9OHZLExirTcU,Q3545224,"easy listening, Manila sound, city pop",http://www.wikidata.org/entity/Q3545224
Cinderella,65QcnpMJFv1yogXwoOe97v,Q5120430,"pop music, Manila sound",http://www.wikidata.org/entity/Q5120430
Gloc-9,7HJDRQAfEcFiARVehhM6qD,Q3545248,"alternative hip-hop, rap rock, political hip-hop, Pinoy hip hop",http://www.wikidata.org/entity/Q3545248
Kamikazee,4GBFKKuwmZUnAJt6nBal7A,Q3812690,Pinoy rock,http://www.wikidata.org/entity/Q3812690
Moonstar 88,2kZThDGZcHl4klYYFk0v8n,Q6907989,Pinoy rock,http://www.wikidata.org/entity/Q6907989
Rey Valera,5xWPJKDLLSDaz7K7tSMTFu,Q5640763,"ballad, Manila sound",http://www.wikidata.org/entity/Q5640763
Rico J. Puno,77hvqYqKgIrS1SC0BhRdQx,Q3543976,Manila sound,http://www.wikidata.org/entity/Q3543976
SB19,3g7vYcdDXnqnDKYFwqXBJP,Q75905366,Pinoy pop,http://www.wikidata.org/entity/Q75905366
Sheryn Regis,32PL3PLStRsft4ArQ3hWZG,Q3543518,"pop music, Pinoy pop",http://www.wikidata.org/entity/Q3543518
VST & Co.,1JygQfeB7OmzophGsgNwSb,Q7907572,"disco, funk, Manila sound",http://www.wikidata.org/entity/Q7907572
Willie Revillame,0ZXi1NG0Wwlaj70Qn25mAr,Q772698,"novelty music, Pinoy pop",http://www.wikidata.org/entity/Q772698
